6.6GY 3.3/4.0
6.2PB 5.0/13.2
8.6PB 2.7/16.6
9.6GY 3.4/2.8
6.6PB 5.1/15.0
8.3PB 2.9/18.7
ERROR: "array([ 1.35415876,  3.42400367,  1.85299479,  2.        ])" specification chroma must be normalised to domain [2, 50]!
6.9PB 5.3/16.8
8.0PB 3.1/20.7
8.5B 3.5/2.2
7.8PB 3.3/22.4
4.1PB 3.6/4.1
7.8GY 5.0/10.9
0.1B 6.4/6.6
1.1G 7.8/14.0
8.0GY 5.0/10.5
4.4B 6.4/7.2
1.7G 7.8/13.0
8.4GY 5.0/10.0
8.0B 6.5/8.3
2.5G 7.8/12.0
9.1GY 5.0/9.2
0.7PB 6.6/9.8
3.7G 7.9/11.2
0.1G 5.0/8.3
2.5PB 6.6/11.3
5.4G 7.9/10.4
1.2G 5.0/7.2
8.9GY 6.6/14.8
8.7G 7.9/9.7
3.3G 5.1/6.4
9.1GY 6.6/14.5
2.7BG 8.0/9.1
8.1G 5.1/5.5
9.3GY 6.6/14.1
6.1BG 8.0/8.7
4.6BG 5.1/5.0
9.6GY 6.6/13.5
9.8BG 8.1/8.5
1.0B 5.2/5.0
0.1G 6.6/12.7
3.1B 8.1/8.6
6.6B 5.3/6.0
0.6G 6.7/11.9
9.5GY 8.3/17.9
0.5PB 5.3/7.6
1.3G 6.7/11.0
9.5GY 8.3/17.7
2.8PB 5.4/9.3
2.4G 6.7/10.1
9.6GY 8.3/17.4
4.6PB 5.5/11.2
4.0G 6.7/9.3
9.8GY 8.3/16.9
5.6PB 5.6/13.0
6.9G 6.8/8.6
0.1G 8.3/16.4
6.1PB 5.7/14.7
1.4BG 6.8/7.9
0.5G 8.3/15.8
8.3GY 5.5/12.2
5.6BG 6.9/7.5
0.9G 8.3/15.0
8.5GY 5.5/11.9
9.9BG 6.9/7.4
1.5G 8.3/14.2
8.8GY 5.5/11.3
3.9B 7.0/7.9
2.1G 8.4/13.3
9.3GY 5.5/10.6
7.1B 7.1/8.7
3.0G 8.4/12.4
0.1G 5.5/9.7
9.8B 7.1/9.9
4.2G 8.4/11.5
0.9G 5.6/8.8
9.2GY 7.2/16.0
6.3G 8.5/10.7
2.2G 5.6/7.9
9.3GY 7.2/15.8
9.4G 8.5/10.0
4.6G 5.6/7.0
9.4GY 7.2/15.4
3.1BG 8.5/9.4
9.4G 5.7/6.3
9.7GY 7.2/14.8
6.4BG 8.6/8.9
4.9BG 5.7/5.8
0.1G 7.2/14.2
9.9BG 8.7/8.6
0.4B 5.8/5.8
0.6G 7.2/13.4
9.6GY 8.8/18.7
5.3B 5.8/6.5
1.2G 7.2/12.5
9.6GY 8.8/18.5
9.1B 5.9/8.0
1.9G 7.3/11.5
9.7GY 8.8/18.2
1.6PB 6.0/9.7
3.1G 7.3/10.7
9.9GY 8.8/17.7
3.5PB 6.1/11.4
4.7G 7.3/9.9
0.1G 8.8/17.2
5.0PB 6.2/12.9
7.9G 7.4/9.1
0.4G 8.8/16.6
8.7GY 6.1/13.6
2.1BG 7.4/8.5
0.8G 8.9/15.9
8.8GY 6.1/13.3
5.9BG 7.5/8.1
1.2G 8.9/15.1
9.1GY 6.1/12.8
9.8BG 7.5/8.0
1.8G 8.9/14.2
9.5GY 6.1/12.2
3.4B 7.6/8.2
2.6G 8.9/13.4
0.1G 6.1/11.3
6.3B 7.6/8.9
3.5G 9.0/12.6
0.7G 6.1/10.4
9.3GY 7.7/17.0
4.7G 9.0/11.7
1.6G 6.1/9.5
9.4GY 7.7/16.8
7.0G 9.0/11.1
3.2G 6.2/8.7
9.5GY 7.7/16.5
10.0G 9.1/10.9
5.8G 6.2/7.8
9.8GY 7.7/15.9
3.4BG 9.1/10.7
0.5BG 6.3/7.1
0.1G 7.7/15.3
6.4BG 9.2/10.8
5.2BG 6.3/6.6
0.5G 7.8/14.7
2.6YR 1.5/7.9
8.9PB 3.2/20.3
7.7PB 3.7/3.6
0.3YR 1.5/7.5
8.6PB 3.4/22.1
8.1PB 3.8/5.9
5.7R 1.5/7.5
8.3PB 3.6/23.9
8.2PB 3.8/8.2
0.2R 1.6/7.9
8.2PB 3.8/25.7
8.3PB 3.9/10.6
4.3RP 1.7/8.9
0.1Y 2.4/5.4
8.3PB 4.0/12.9
0.1RP 1.8/10.3
8.9YR 2.5/4.7
8.2PB 4.2/15.0
6.1P 1.9/12.0
6.1YR 2.5/3.7
8.1PB 4.3/16.9
3.5P 2.1/13.7
9.3R 2.5/2.8
8.1PB 4.4/18.7
1.9P 2.2/15.3
6.6RP 2.6/3.1
8.0PB 4.6/20.5
ERROR: "[  7.5   2.   16.    1. ]" specification does not exists in "Munsell Renotation System" data!
9.3P 2.6/4.4
4.3GY 4.0/7.5
10.0PB 2.6/18.6
4.8P 2.7/6.4
4.6GY 4.0/7.0
9.4PB 2.8/20.4
2.4P 2.8/8.3
5.0GY 4.0/6.1
8.9PB 3.0/22.2
1.1P 2.9/10.4
5.6GY 4.0/5.0
8.6PB 3.2/23.8
0.3P 3.0/12.7
6.8GY 4.0/3.8
8.3PB 3.4/25.4
9.6PB 3.2/14.6
10.0GY 4.1/2.7
8.1PB 3.6/27.2
9.2PB 3.3/16.6
ERROR: "array([ 0.96158791,  4.10616869,  1.79230162,  2.        ])" specification chroma must be normalised to domain [2, 50]!
3.3YR 1.7/7.1
8.8PB 3.5/18.6
8.1B 4.2/2.3
1.3YR 1.7/6.6
8.5PB 3.6/20.5
3.8PB 4.2/4.2
6.7R 1.7/6.4
8.3PB 3.8/22.7
5.9PB 4.3/6.3
0.6R 1.8/6.8
8.2PB 4.0/24.7
6.7PB 4.4/8.5
