4.2GY 8.4/9.7
6.5R 6.3/5.7
2.8P 7.5/9.4
4.6GY 8.4/8.8
9.7RP 6.3/6.0
9.1Y 7.4/10.9
5.1GY 8.5/7.7
4.4RP 6.3/6.8
9.1Y 7.4/10.6
5.4GY 8.5/6.6
1.1RP 6.4/7.9
9.0Y 7.4/10.1
5.9GY 8.5/5.5
8.4P 6.5/9.4
8.9Y 7.4/9.5
6.6GY 8.5/4.4
6.6P 6.5/11.0
8.8Y 7.5/8.6
7.8GY 8.6/3.3
5.5P 6.6/12.7
8.6Y 7.5/7.6
0.2G 8.6/2.3
4.4P 6.7/14.3
8.3Y 7.5/6.6
ERROR: "array([ 7.55348575,  8.65942767,  1.58275176,  3.        ])" specification chroma must be normalised to domain [2, 50]!
2.9Y 6.5/10.6
7.8Y 7.5/5.4
4.4B 8.7/2.1
2.8Y 6.5/10.2
7.0Y 7.5/4.3
2.4PB 8.8/3.6
2.6Y 6.5/9.7
5.7Y 7.6/3.1
5.1GY 8.9/13.2
2.1Y 6.5/9.0
3.4Y 7.6/2.0
5.2GY 8.9/13.1
1.5Y 6.6/8.0
ERROR: "array([ 8.15343435,  7.66113017,  1.08228907,  6.        ])" specification chroma must be normalised to domain [2, 50]!
5.2GY 8.9/12.7
0.5Y 6.6/7.0
ERROR: "array([ 0.71741624,  7.70875808,  1.80261711,  8.        ])" specification chroma must be normalised to domain [2, 50]!
5.3GY 8.9/12.2
9.1YR 6.6/6.0
4.2P 7.8/3.5
5.4GY 8.9/11.6
7.1YR 6.6/5.1
2.1P 7.8/5.4
5.6GY 8.9/10.8
3.5YR 6.7/4.3
1.2P 7.9/7.1
5.8GY 8.9/9.9
7.7R 6.7/4.1
1.7GY 7.9/11.5
6.1GY 8.9/9.0
8.4RP 6.7/4.6
1.7GY 7.9/11.3
6.5GY 9.0/7.9
2.3RP 6.8/5.5
1.7GY 7.9/10.9
7.1GY 9.0/6.9
8.4P 6.9/6.9
1.7GY 7.9/10.3
7.8GY 9.0/5.8
6.3P 6.9/8.6
1.8GY 7.9/9.5
8.9GY 9.0/4.9
5.1P 7.0/10.3
1.9GY 7.9/8.7
0.6G 9.1/4.2
3.8P 7.1/11.9
2.1GY 8.0/7.6
3.6G 9.1/3.4
5.8Y 7.0/10.6
2.3GY 8.0/6.5
2.3BG 9.2/3.0
5.7Y 7.0/10.2
2.5GY 8.0/5.3
2.1B 9.2/3.4
5.6Y 7.0/9.8
3.0GY 8.0/4.1
8.0GY 9.5/12.7
5.3Y 7.0/9.1
4.0GY 8.1/2.9
9.0GY 9.5/11.5
4.9Y 7.0/8.2
ERROR: "array([ 5.37079418,  8.11412815,  1.76568394,  4.        ])" specification chroma must be normalised to domain [2, 50]!
0.3G 9.5/10.4
4.4Y 7.0/7.2
ERROR: "array([ 8.32271507,  8.15767703,  0.78379773,  4.        ])" specification chroma must be normalised to domain [2, 50]!
2.2G 9.6/9.6
3.6Y 7.0/6.1
ERROR: "array([  1.71603175,   8.20581244,   1.2397312 ,  10.        ])" specification chroma must be normalised to domain [2, 50]!
5.7G 9.6/9.4
8.3R 4.5/17.9
1.2RP 5.1/19.5
3.7R 5.4/11.9
7.9R 4.5/17.6
9.9P 5.2/20.6
0.7R 5.4/12.2
7.2R 4.5/17.1
8.5P 5.3/21.8
7.8RP 5.5/12.7
5.8R 4.6/16.7
7.4P 5.4/23.1
5.1RP 5.5/13.4
4.2R 4.6/16.4
6.4P 5.5/24.3
3.3RP 5.6/14.3
2.4R 4.6/16.4
9.2R 4.8/16.5
1.6RP 5.6/15.4
0.0R 4.6/16.6
8.8R 4.8/16.2
0.0RP 5.7/16.7
7.9RP 4.7/17.0
8.2R 4.8/15.7
8.5P 5.8/18.1
5.7RP 4.7/17.6
7.2R 4.8/15.1
7.2P 5.9/19.4
4.0RP 4.8/18.5
5.5R 4.9/14.8
6.2P 6.0/20.7
2.7RP 4.9/19.4
3.6R 4.9/14.7
3.0YR 5.6/13.6
1.2RP 5.0/20.6
1.2R 4.9/14.9
2.7YR 5.6/13.3
9.9P 5.1/21.7
8.7RP 5.0/15.2
2.2YR 5.6/12.7
8.6P 5.1/22.9
6.3RP 5.0/15.8
1.3YR 5.6/11.9
7.4P 5.3/24.1
4.3RP 5.1/16.5
10.0R 5.6/11.2
6.4P 5.4/25.2
2.8RP 5.2/17.4
8.3R 5.7/10.7
8.4R 4.6/17.7
1.3RP 5.2/18.5
5.9R 5.7/10.5
8.1R 4.6/17.4
9.9P 5.3/19.6
2.7R 5.7/10.6
7.4R 4.6/16.8
8.5P 5.4/20.8
9.2RP 5.8/11.0
6.1R 4.6/16.4
7.4P 5.5/22.0
6.1RP 5.8/11.6
4.4R 4.6/16.1
6.4P 5.6/23.3
3.7RP 5.9/12.5
2.6R 4.7/16.1
9.9R 5.0/15.5
1.8RP 5.9/13.5
0.2R 4.7/16.2
9.6R 5.0/15.2
0.1RP 6.0/14.8
8.0RP 4.7/16.7
9.0R 5.0/14.8
8.4P 6.1/16.2
5.8RP 4.8/17.3
8.1R 5.1/14.2
7.1P 6.2/17.7
4.0RP 4.9/18.1
6.6R 5.1/13.8
6.1P 6.2/19.0
2.7RP 4.9/19.1
4.6R 5.1/13.6
5.2YR 5.9/12.9
1.2RP 5.0/20.2
2.1R 5.1/13.6
4.9YR 5.9/12.5
9.9P 5.1/21.4
9.4RP 5.2/13.9
4.5YR 5.9/11.9
8.6P 5.2/22.5
6.9RP 5.2/14.3
3.8YR 6.0/11.2
7.4P 5.3/23.8
4.6RP 5.3/15.0
2.7YR 6.0/10.4
6.4P 5.4/24.9
3.0RP 5.3/15.9
1.0YR 6.0/9.7
8.7R 4.7/17.2
1.4RP 5.4/17.1
8.8R 6.0/9.2
8.4R 4.7/16.9
10.0P 5.5/18.3
5.8R 6.1/9.0
7.7R 4.7/16.3
8.5P 5.6/19.6
1.7R 6.1/9.2
6.5R 4.7/15.9
