7.3GY 8.8/9.5
7.5YR 6.5/3.0
3.6GY 7.8/11.8
7.8GY 8.8/8.5
0.1YR 6.5/2.5
3.7GY 7.8/11.5
8.4GY 8.9/7.5
5.7RP 6.6/3.1
3.7GY 7.8/11.2
9.4GY 8.9/6.4
8.7P 6.6/4.4
3.9GY 7.8/10.6
0.7G 8.9/5.4
5.7P 6.7/6.1
4.1GY 7.8/9.8
2.5G 9.0/4.6
4.0P 6.8/8.1
4.4GY 7.8/8.9
6.5G 9.0/4.0
2.7P 6.8/9.9
4.9GY 7.8/8.0
4.4BG 9.1/3.8
1.8P 6.9/11.6
5.3GY 7.9/6.9
1.5B 9.1/4.1
8.9Y 6.8/10.0
5.8GY 7.9/5.7
7.5GY 9.3/14.9
8.8Y 6.8/9.8
6.4GY 7.9/4.6
7.9GY 9.3/13.9
8.8Y 6.8/9.3
7.6GY 7.9/3.4
8.5GY 9.4/12.8
8.6Y 6.8/8.6
0.2G 8.0/2.4
9.4GY 9.4/11.8
8.4Y 6.8/7.7
ERROR: "array([ 8.01425812,  8.02835387,  1.62534563,  3.        ])" specification chroma must be normalised to domain [2, 50]!
0.4G 9.4/10.8
8.2Y 6.9/6.6
5.0B 8.1/2.2
1.8G 9.4/10.0
7.7Y 6.9/5.5
2.6PB 8.1/3.8
3.9G 9.5/9.6
6.9Y 6.9/4.3
5.5PB 8.2/5.5
8.3G 9.5/9.5
8.4R 4.2/17.0
0.1RP 4.8/18.9
3.1R 5.1/10.6
8.0R 4.2/16.6
8.6P 4.9/20.4
9.6RP 5.2/10.9
7.1R 4.2/16.1
7.3P 5.0/21.8
6.4RP 5.2/11.4
5.4R 4.2/15.6
6.2P 5.1/23.3
3.9RP 5.3/12.3
3.6R 4.2/15.4
5.4P 5.2/24.6
2.1RP 5.3/13.3
1.5R 4.3/15.4
9.6R 4.5/15.0
0.2RP 5.4/14.6
9.0RP 4.3/15.7
9.2R 4.5/14.7
8.5P 5.5/16.1
6.7RP 4.4/16.2
8.5R 4.5/14.2
7.1P 5.6/17.6
4.6RP 4.4/16.9
7.2R 4.5/13.7
6.0P 5.7/19.2
3.1RP 4.5/17.8
5.1R 4.6/13.4
5.2P 5.8/20.6
1.5RP 4.6/18.8
3.0R 4.6/13.3
4.3YR 5.3/12.4
0.1RP 4.7/19.8
0.2R 4.6/13.5
4.0YR 5.3/12.0
8.6P 4.8/21.3
7.5RP 4.7/14.0
3.4YR 5.3/11.3
7.4P 4.9/22.8
5.0RP 4.7/14.7
2.5YR 5.4/10.5
6.3P 5.0/24.4
3.3RP 4.8/15.6
0.9YR 5.4/9.7
5.4P 5.1/25.7
1.7RP 4.9/16.8
8.8R 5.4/9.1
8.6R 4.2/16.6
0.1RP 4.9/18.0
5.9R 5.4/8.9
8.2R 4.2/16.2
8.6P 5.0/19.4
2.0R 5.5/9.1
7.3R 4.2/15.7
7.3P 5.1/20.8
8.0RP 5.5/9.6
5.7R 4.3/15.3
6.2P 5.2/22.1
4.7RP 5.6/10.3
3.9R 4.3/15.0
5.3P 5.3/23.5
2.5RP 5.6/11.3
1.7R 4.3/15.0
0.6YR 4.7/14.0
0.3RP 5.7/12.6
9.2RP 4.4/15.3
0.2YR 4.7/13.6
8.4P 5.8/14.1
6.8RP 4.4/15.8
9.5R 4.7/13.1
7.0P 5.8/15.7
4.7RP 4.5/16.5
8.4R 4.8/12.6
5.9P 5.9/17.4
3.1RP 4.5/17.4
6.6R 4.8/12.2
5.0P 6.0/18.9
1.6RP 4.6/18.4
4.1R 4.8/12.0
6.9YR 5.7/11.6
0.1RP 4.7/19.5
1.3R 4.8/12.1
6.7YR 5.7/11.2
8.6P 4.8/21.0
8.3RP 4.9/12.5
6.2YR 5.7/10.6
7.4P 4.9/22.4
5.5RP 4.9/13.2
5.4YR 5.7/9.7
6.3P 5.0/24.1
3.5RP 5.0/14.2
4.2YR 5.7/8.9
5.4P 5.1/25.3
1.8RP 5.1/15.3
2.4YR 5.8/8.1
9.0R 4.3/16.0
0.1RP 5.1/16.5
9.6R 5.8/7.5
8.5R 4.3/15.6
8.5P 5.2/17.9
6.0R 5.8/7.4
7.8R 4.4/15.1
7.2P 5.3/19.3
0.9R 5.9/7.7
6.3R 4.4/14.6
6.1P 5.4/20.7
6.3RP 5.9/8.3
4.3R 4.4/14.3
5.3P 5.5/22.0
3.1RP 6.0/9.3
2.2R 4.4/14.3
2.0YR 5.0/13.4
0.6RP 6.0/10.5
9.6RP 4.5/14.6
1.7YR 5.0/12.9
8.4P 6.1/11.9
7.1RP 4.5/15.1
1.0YR 5.0/12.2
6.8P 6.2/13.5
4.8RP 4.6/15.8
9.9R 5.0/11.4
5.7P 6.2/15.1
3.2RP 4.6/16.7
8.4R 5.1/10.9
4.8P 6.3/16.6
1.6RP 4.7/17.8
6.1R 5.1/10.6
9.9YR 6.1/11.0
2.6Y 7.1/5.0
7.1PB 8.3/3.4
9.7YR 6.1/10.7
0.6Y 7.1/3.9
8.2PB 8.3/5.1
9.3YR 6.1/10.0
7.7YR 7.1/3.0
3.6GY 8.4/12.3
8.7YR 6.1/9.3
0.6YR 7.2/2.5
3.6GY 8.4/12.1
7.8YR 6.1/8.3
6.1RP 7.2/3.1
3.7GY 8.4/11.8
6.4YR 6.2/7.4
8.7P 7.3/4.4
3.8GY 8.4/11.2
4.2YR 6.2/6.5
5.8P 7.3/6.1
4.0GY 8.4/10.5
1.0YR 6.2/5.9
4.2P 7.4/7.8
